Congressional District,Democrat ,Republican ,Winner,Incumbent Status,Term of Incumbent,Total,For Democrats,Against Democrats,For Republicans,Against Republicans,Percent White ,Percent Black ,Percent Latino ,Percent Asian ,Percent Mixed ,Percent Other,Median Household Income,% Less than High School Diploma,% High School Graduate,% Some College,% Bachelor's Degree or Higher,"Agriculture, Forestry, Fishing, and Hunting",Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,"Professional, Scientific, and Technical Services",Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services,Public Administration,Percentage Democrat,Percentage Republican,Percentage Unaffiliated ,PVI Rating,Margin of Victory,Voter Turnout,% Men,% Women,% Ages 18-24,% Ages 25-44,% Ages 45-64,% Ages 65+,Classification,Probability Dem,Probability Repubican
South Carolina District 5,Evangeline Hundley,Ralph Norman,Republican,Republican,5 years,"$5,471","$1,048",$0,"$4,415",$8,65.00%,25.00%,5.00%,2.00%,2.00%,1.00%,"$52,000",15%,30%,25%,30%,2%,6%,12%,4%,11%,5%,2%,4%,6%,8%,15%,2%,7%,5%,11%,35%,50%,15%,R+9,15%,55%,48%,52%,12%,30%,35%,23%,Suburban,1,99
New York District 8,Hakeem Jeffries,Yuri Dashevsky,Democrat,Democratic,10 years,"$5,064","$5,064",$0,$0,$0,20.00%,60.00%,15.00%,3.00%,1.50%,0.50%,"$60,000",20%,35%,20%,25%,0%,4%,5%,3%,10%,6%,3%,7%,10%,9%,16%,3%,8%,6%,10%,65%,20%,15%,D+34,45%,60%,46%,54%,15%,35%,30%,20%,Urban,99,1
Oregon District 2,Joe Yetter,Cliff Bentz,Republican,Republican,2 years,"$4,919",$0,$0,"$4,919",$0,80.00%,1.00%,15.00%,1.00%,2.00%,1.00%,"$55,000",10%,35%,30%,25%,5%,7%,10%,3%,12%,4%,1%,3%,5%,7%,14%,2%,6%,4%,17%,30%,55%,15%,R+11,20%,50%,49%,51%,10%,28%,37%,25%,Rural,1,99
Arizona District 7,Ruben Gallego,Jeff Zink,Democrat,Democratic,8 years,"$4,599","$2,091",$0,"$2,500",$8,30.00%,5.00%,60.00%,2.00%,2.00%,1.00%,"$48,000",25%,30%,25%,20%,1%,6%,8%,3%,11%,5%,2%,4%,7%,8%,15%,3%,9%,5%,13%,60%,25%,15%,D+23,35%,52%,47%,53%,14%,32%,33%,21%,Urban,99,1
California District 40,Asif Mahmood,Young Kim,Republican,Republican,2 years,"$4,543","$1,035",$0,"$3,500",$8,35.00%,2.00%,40.00%,20.00%,2.00%,1.00%,"$70,000",12%,28%,25%,35%,1%,5%,9%,4%,10%,5%,3%,6%,9%,8%,14%,3%,8%,5%,10%,40%,45%,15%,R+2,5%,58%,48%,52%,13%,34%,32%,21%,Suburban,2,98
Florida District 26,Christine Alexandria Olivo,Mario Díaz-Balart,Republican,Republican,20 years,"$4,489","$4,489",$0,$0,$0,20.00%,10.00%,65.00%,2.00%,2.00%,1.00%,"$50,000",18%,32%,25%,25%,2%,6%,7%,3%,11%,5%,2%,5%,8%,9%,16%,3%,9%,6%,8%,38%,47%,15%,R+8,9%,54%,49%,51%,12%,33%,34%,21%,Suburban,1,99
Tennessee District 6,Randal Cooper,John Rose,Republican,Republican,4 years,"$4,393",$0,$0,"$4,393",$0,75.00%,15.00%,5.00%,2.00%,2.00%,1.00%,"$53,000",14%,34%,28%,24%,3%,7%,15%,4%,12%,6%,1%,3%,5%,7%,13%,2%,6%,5%,13%,25%,60%,15%,R+20,35%,53%,50%,50%,11%,29%,36%,24%,Rural,1,99
Ohio District 5,Craig Swartz,Bob Latta,Republican,Republican,15 years,"$4,232",$66,$0,"$4,158",$8,85.00%,5.00%,5.00%,2.00%,2.00%,1.00%,"$54,000",13%,36%,27%,24%,4%,6%,20%,3%,11%,5%,1%,4%,6%,8%,14%,2%,7%,5%,4%,30%,55%,15%,R+11,20%,51%,49%,51%,10%,28%,37%,25%,Rural,1,99
Oregon District 1,Suzanne Bonamici,Christopher Mann,Democrat,Democratic,10 years,"$4,228",$79,$0,$0,"$4,149",70.00%,2.00%,15.00%,10.00%,2.00%,1.00%,"$65,000",8%,30%,25%,37%,2%,5%,10%,4%,11%,4%,3%,6%,9%,8%,15%,3%,8%,5%,7%,55%,30%,15%,D+10,25%,57%,47%,53%,13%,33%,34%,20%,Urban,99,1
New York District 15,Ritchie Torres,Stylo Sapaskis,Democrat,Democratic,2 years,"$4,174","$4,174",$0,$0,$0,10.00%,30.00%,55.00%,2.00%,2.00%,1.00%,"$40,000",30%,35%,20%,15%,0%,4%,5%,3%,10%,6%,3%,7%,10%,9%,16%,3%,8%,6%,10%,80%,10%,10%,D+44,70%,50%,45%,55%,16%,36%,30%,18%,Urban,99,1
Texas District 20,Azim R.,Joaquin Castro,Democrat,Democratic,10 years,"$4,078",$51,$0,"$4,027",$0,20.00%,5.00%,70.00%,2.00%,2.00%,1.00%,"$45,000",25%,30%,25%,20%,2%,6%,8%,3%,11%,5%,2%,5%,7%,8%,15%,3%,9%,5%,10%,60%,30%,10%,D+15,30%,53%,48%,52%,14%,32%,33%,21%,Urban,99,1
North Dakota District 1,Mark Haugen,Kelly Armstrong,Republican,Republican,4 years,"$4,007",$0,$0,"$4,007",$0,85.00%,3.00%,5.00%,2.00%,3.00%,2.00%,"$61,000",10%,35%,30%,25%,6%,8%,12%,3%,11%,5%,1%,3%,5%,7%,14%,2%,6%,4%,13%,25%,60%,15%,R+20,35%,55%,50%,50%,11%,29%,36%,24%,Rural,1,99
Ohio District 6,Louis Lyras,Bill Johnson,Republican,Republican,12 years,"$3,892",$0,$0,"$3,892",$0,90.00%,5.00%,2.00%,1.00%,1.00%,1.00%,"$50,000",15%,40%,25%,20%,3%,7%,15%,4%,12%,6%,1%,3%,5%,7%,13%,2%,6%,5%,13%,30%,55%,15%,R+11,20%,51%,49%,51%,10%,28%,37%,25%,Rural,1,99
Tennessee District 8,Lynnette Williams,David Kustoff,Republican,Republican,6 years,"$3,608",$0,$0,"$3,608",$0,70.00%,25.00%,3.00%,1.00%,0.50%,0.50%,"$52,000",14%,38%,28%,20%,4%,7%,14%,4%,12%,5%,1%,3%,5%,7%,13%,2%,6%,5%,13%,25%,60%,15%,R+20,35%,53%,50%,50%,11%,29%,36%,24%,Rural,1,99
West Virginia District 1,Lacy Watson,Carol Miller,Republican,Republican,4 years,"$3,596",$0,$0,"$3,596",$0,95.00%,2.00%,1.00%,1.00%,0.50%,0.50%,"$48,000",18%,40%,25%,17%,2%,8%,10%,3%,11%,5%,1%,3%,5%,7%,14%,2%,6%,4%,19%,20%,65%,15%,R+22,40%,50%,49%,51%,10%,27%,38%,25%,Rural,1,99
Missouri District 8,Randi McCallian,Jason Smith,Republican,Republican,9 years,"$3,541","$2,000",$0,"$1,541",$0,85.00%,10.00%,3.00%,1.00%,0.50%,0.50%,"$49,000",16%,38%,26%,20%,5%,7%,12%,3%,11%,5%,1%,3%,5%,7%,14%,2%,6%,4%,17%,25%,60%,15%,R+20,35%,52%,50%,50%,11%,29%,36%,24%,Rural,1,99
Wisconsin District 7,Richard Ausman,Tom Tiffany,Republican,Republican,2 years,"$3,214",$8,$0,"$3,198",$8,90.00%,2.00%,5.00%,1.00%,1.00%,1.00%,"$55,000",12%,35%,28%,25%,3%,6%,15%,4%,12%,6%,2%,4%,6%,7%,14%,2%,6%,5%,14%,35%,50%,15%,R+8,15%,54%,49%,51%,12%,30%,35%,23%,Rural,1,99
Michigan District 5,Dan Kildee,Paul Junge,Democrat,Democratic,10 years,"$3,177","$2,086",$0,"$1,075",$16,65.00%,25.00%,5.00%,2.00%,2.00%,1.00%,"$50,000",15%,35%,25%,25%,3%,7%,20%,4%,12%,5%,1%,4%,6%,7%,15%,2%,7%,5%,9%,55%,35%,10%,D+4,10%,56%,48%,52%,13%,32%,34%,21%,Urban,1,99
Mississippi District 1,Hunter Avery,Trent Kelly,Republican,Republican,7 years,"$2,965","$2,063",$0,$902,$0,60.00%,35.00%,3.00%,1.00%,0.50%,0.50%,"$45,000",20%,35%,25%,20%,4%,8%,18%,4%,11%,6%,1%,3%,5%,6%,13%,2%,6%,5%,13%,30%,55%,15%,R+13,25%,51%,49%,51%,11%,28%,37%,24%,Rural,1,99
Washington District 7,Pramila Jayapal,Cliff Moon,Democrat,Democratic,6 years,"$2,953","$2,945",$0,$0,$8,60.00%,5.00%,10.00%,20.00%,3.00%,2.00%,"$75,000",7%,25%,25%,43%,1%,4%,8%,3%,10%,5%,4%,7%,15%,10%,18%,3%,9%,5%,8%,70%,20%,10%,D+33,50%,60%,46%,54%,15%,35%,30%,20%,Urban,99,1
Wisconsin District 6,Jessica King,Glenn Grothman,Republican,Republican,8 years,"$2,800",$0,$0,"$2,800",$0,85.00%,5.00%,5.00%,2.00%,2.00%,1.00%,"$54,000",13%,35%,27%,25%,2%,6%,25%,3%,10%,4%,1%,4%,5%,7%,12%,2%,6%,4%,10%,35%,50%,15%,R+8,15%,54%,49%,51%,12%,30%,35%,23%,Rural,1,99
California District 18,Zoe Lofgren,Peter Hernandez,Democrat,Democratic,28 years,"$2,700","$2,700",$0,$0,$0,40.00%,3.00%,30.00%,25.00%,1.00%,1.00%,"$80,000",6%,20%,24%,50%,1%,5%,7%,3%,9%,4%,5%,8%,18%,10%,20%,3%,10%,5%,7%,65%,25%,10%,D+20,40%,60%,47%,53%,14%,34%,32%,20%,Urban,99,1
Michigan District 9,Lisa McClain,Brian Jaye,Republican,Republican,2 years,"$2,626","$1,318",$0,"$1,308",$0,70.00%,20.00%,5.00%,2.00%,2.00%,1.00%,"$58,000",12%,30%,28%,30%,2%,5%,15%,4%,12%,6%,2%,5%,8%,8%,15%,2%,7%,5%,6%,55%,35%,10%,D+4,10%,56%,48%,52%,13%,32%,34%,21%,Urban,1,99
Virginia District 3,Bobby Scott,Terry Namkung,Democrat,Democratic,30 years,"$2,526",$18,$0,"$2,500",$8,30.00%,60.00%,5.00%,2.00%,2.00%,1.00%,"$52,000",18%,35%,25%,22%,1%,6%,10%,4%,11%,6%,2%,6%,9%,9%,18%,3%,9%,6%,10%,60%,30%,10%,D+15,30%,53%,48%,52%,14%,32%,33%,21%,Suburban,99,1
North Carolina District 8,Scott Huffman,Dan Bishop,Republican,Republican,3 years,"$2,373",$8,$0,"$2,357",$8,50.00%,40.00%,5.00%,2.00%,2.00%,1.00%,"$50,000",17%,35%,25%,23%,3%,8%,18%,3%,12%,5%,2%,4%,7%,8%,16%,2%,8%,5%,9%,35%,50%,15%,R+7,15%,54%,49%,51%,12%,30%,35%,23%,Urban,1,99
Maryland District 8,Jamie Raskin,Gregory Coll,Democrat,Democratic,6 years,"$2,243","$2,235",$0,$0,$8,50.00%,20.00%,10.00%,15.00%,3.00%,2.00%,"$90,000",5%,20%,25%,50%,1%,4%,6%,2%,8%,3%,5%,8%,15%,12%,18%,3%,9%,6%,9%,70%,20%,10%,D+28,50%,60%,46%,54%,15%,35%,30%,20%,Urban,99,1
Maryland District 5,Steny Hoyer,Chris Palombi,Democrat,Democratic,40 years,"$2,207","$2,199",$0,$0,$8,60.00%,30.00%,5.00%,2.00%,2.00%,1.00%,"$80,000",7%,25%,25%,43%,2%,5%,7%,2%,9%,4%,4%,7%,12%,10%,17%,3%,8%,5%,10%,65%,25%,10%,D+16,40%,58%,47%,53%,13%,34%,32%,21%,Urban,99,1
Maryland District 2,Dutch Ruppersberger,Nicolee Ambrose,Democrat,Democratic,20 years,"$2,149","$1,538",$0,$611,$0,65.00%,25.00%,5.00%,2.00%,2.00%,1.00%,"$70,000",10%,30%,25%,35%,1%,6%,10%,3%,11%,5%,3%,6%,10%,9%,16%,3%,8%,5%,7%,60%,30%,10%,D+10,30%,56%,48%,52%,13%,32%,34%,21%,Suburban,99,1
Virginia District 1,Herb Jones,Rob Wittman,Republican,Republican,15 years,"$2,021","$1,740",$29,$252,$0,70.00%,20.00%,5.00%,2.00%,2.00%,1.00%,"$75,000",8%,28%,25%,39%,3%,7%,12%,4%,12%,5%,2%,5%,9%,8%,15%,2%,7%,5%,10%,35%,50%,15%,R+8,15%,54%,49%,51%,12%,30%,35%,23%,Urban,1,99
Maryland District 3,John Sarbanes,Yuripzy Morgan,Democrat,Democratic,16 years,"$1,979","$1,971",$0,$0,$8,60.00%,20.00%,10.00%,7.00%,2.00%,1.00%,"$85,000",6%,22%,25%,47%,1%,5%,7%,3%,9%,4%,5%,8%,15%,11%,17%,3%,9%,6%,9%,65%,25%,10%,D+14,40%,58%,47%,53%,13%,34%,32%,21%,Rural,99,1
Michigan District 1,Bob Lorinser,Jack Bergman,Republican,Republican,6 years,"$1,931",$10,$0,"$1,921",$0,85.00%,2.00%,5.00%,3.00%,3.00%,2.00%,"$52,000",14%,35%,28%,23%,4%,7%,18%,3%,11%,5%,1%,4%,6%,7%,14%,2%,6%,4%,8%,30%,55%,15%,R+11,20%,51%,49%,51%,10%,28%,37%,25%,Rural,1,99
Michigan District 2,Jerry Hilliard,John Moolenaar,Republican,Republican,8 years,"$1,826",$344,$0,"$1,482",$0,80.00%,3.00%,5.00%,5.00%,5.00%,2.00%,"$55,000",13%,34%,28%,25%,3%,6%,20%,4%,12%,5%,2%,5%,7%,8%,15%,2%,7%,5%,6%,35%,50%,15%,R+8,15%,54%,49%,51%,12%,30%,35%,23%,Urban,1,99
California District 36,Raul Ruiz,Brian Hawkins,Democrat,Democratic,10 years,"$1,768","$1,101",$0,$0,$8,40.00%,10.00%,40.00%,7.00%,2.00%,1.00%,"$60,000",12%,30%,25%,33%,2%,5%,9%,3%,11%,5%,3%,6%,12%,10%,17%,3%,9%,5%,8%,60%,30%,10%,D+10,30%,56%,48%,52%,13%,32%,34%,21%,Rural,99,1
Florida District 17,Andrea Doria Kale,Greg Steube,Republican,Republican,4 years,"$1,736",$0,$0,"$1,736",$0,60.00%,20.00%,15.00%,2.00%,2.00%,1.00%,"$53,000",15%,35%,25%,25%,3%,7%,14%,3%,12%,6%,1%,4%,7%,8%,15%,2%,7%,5%,9%,30%,55%,15%,R+11,20%,51%,49%,51%,10%,28%,37%,25%,Urban,1,99
Maryland District 7,Kweisi Mfume,Scott Collier,Democrat,Democratic,2 years,"$1,682","$1,682",$0,$0,$0,35.00%,50.00%,5.00%,5.00%,3.00%,2.00%,"$65,000",10%,30%,25%,35%,1%,4%,6%,2%,8%,4%,4%,7%,15%,12%,18%,3%,9%,6%,8%,70%,20%,10%,D+30,50%,60%,46%,54%,15%,35%,30%,20%,Urban,99,1
Arizona District 3,Juan Ciscomani,Kirsten Engel,Republican,N/A,N/A,"$1,679","$1,679",$0,$0,$0,30.00%,5.00%,60.00%,2.00%,2.00%,1.00%,"$48,000",20%,30%,25%,25%,2%,6%,8%,3%,12%,5%,2%,4%,8%,9%,15%,3%,8%,5%,10%,55%,35%,10%,D+4,10%,56%,48%,52%,13%,32%,34%,21%,Rural,99,1
Texas District 12,Trey Hunt,Kay Granger,Republican,Republican,26 years,"$1,609",$0,$0,$112,"$1,497",50.00%,20.00%,25.00%,3.00%,1.00%,1.00%,"$60,000",12%,30%,25%,33%,2%,5%,11%,3%,11%,5%,3%,6%,10%,9%,16%,2%,8%,5%,8%,35%,55%,10%,R+11,20%,52%,49%,51%,11%,29%,36%,24%,Urban,1,99
California District 2,Jared Huffman,Douglas Brower,Democrat,Democratic,10 years,"$1,592","$1,584",$0,$0,$8,70.00%,2.00%,10.00%,10.00%,5.00%,3.00%,"$65,000",10%,28%,25%,37%,4%,6%,12%,3%,10%,5%,3%,7%,14%,9%,17%,3%,9%,5%,6%,65%,25%,10%,D+20,40%,60%,47%,53%,14%,34%,32%,20%,Urban,99,1
Texas District 36,Jon Haire,Brian Babin,Republican,Republican,8 years,"$1,498",$0,$0,$998,$500,65.00%,25.00%,5.00%,2.00%,2.00%,1.00%,"$55,000",15%,35%,25%,25%,3%,7%,18%,3%,11%,6%,1%,4%,6%,7%,14%,2%,6%,5%,8%,30%,60%,10%,R+20,30%,50%,50%,50%,10%,28%,36%,26%,Suburban,1,99
Texas District 27,Maclovio Perez Jr.,Michael Cloud,Republican,Republican,4 years,"$1,475",$0,$0,"$1,475",$0,40.00%,10.00%,45.00%,2.00%,2.00%,1.00%,"$50,000",18%,32%,25%,25%,2%,6%,14%,3%,11%,5%,2%,5%,8%,8%,15%,2%,7%,5%,10%,35%,55%,10%,R+11,20%,52%,49%,51%,11%,29%,36%,24%,Urban,1,99
Florida District 24,Frederica Wilson,Jesus G. Navarro,Democrat,Democratic,12 years,"$1,353","$1,345",$0,$0,$8,20.00%,55.00%,20.00%,2.00%,2.00%,1.00%,"$45,000",20%,35%,25%,20%,1%,5%,7%,3%,10%,6%,3%,7%,12%,10%,18%,3%,9%,6%,8%,65%,25%,10%,D+20,40%,60%,47%,53%,14%,34%,32%,20%,Suburban,99,1
California District 17,Ro Khanna,Ritesh Tandon,Democrat,Democratic,6 years,"$1,245","$1,237",$0,$0,$8,30.00%,5.00%,20.00%,40.00%,3.00%,2.00%,"$85,000",5%,20%,25%,50%,1%,4%,6%,2%,9%,5%,5%,9%,18%,12%,20%,3%,10%,5%,7%,70%,20%,10%,D+33,50%,62%,46%,54%,15%,35%,30%,20%,Urban,99,1
Texas District 14,Mikal Williams,Randy Weber,Republican,Republican,10 years,"$1,192",$0,$0,"$1,192",$0,55.00%,30.00%,10.00%,2.00%,2.00%,1.00%,"$55,000",15%,35%,25%,25%,2%,6%,15%,3%,11%,6%,2%,5%,8%,8%,16%,2%,7%,5%,9%,35%,55%,10%,R+11,20%,52%,49%,51%,11%,29%,36%,24%,Urban,1,99
California District 14,Eric Swalwell,Alison Hayden,Democrat,Democratic,10 years,"$1,191","$1,183",$0,$0,$8,40.00%,5.00%,20.00%,30.00%,3.00%,2.00%,"$90,000",5%,20%,25%,50%,1%,4%,7%,3%,10%,5%,4%,8%,15%,11%,18%,3%,9%,5%,7%,70%,20%,10%,D+33,50%,62%,46%,54%,15%,35%,30%,20%,Urban,99,1
Minnesota District 6,Jeanne Hendricks,Tom Emmer,Republican,Republican,8 years,"$1,156",$0,$0,"$1,156",$0,85.00%,3.00%,5.00%,5.00%,1.00%,1.00%,"$65,000",10%,30%,28%,32%,3%,6%,18%,4%,11%,5%,2%,4%,8%,7%,14%,2%,6%,5%,8%,30%,60%,10%,R+20,30%,50%,50%,50%,10%,28%,36%,26%,Suburban,1,99
California District 30,Adam Schiff,Maebe A. Girl,Democrat,Democratic,22 years,"$1,117","$1,101",$0,$0,$16,50.00%,10.00%,25.00%,10.00%,3.00%,2.00%,"$80,000",8%,20%,25%,47%,1%,5%,6%,3%,10%,5%,4%,8%,15%,12%,20%,3%,10%,5%,6%,70%,20%,10%,D+33,50%,62%,46%,54%,15%,35%,30%,20%,Rural,100,0
California District 31,Grace Napolitano,Daniel Bocic Martinez,Democrat,Democratic,24 years,"$1,109","$1,101",$0,$0,$8,40.00%,15.00%,40.00%,3.00%,1.00%,1.00%,"$70,000",10%,28%,25%,37%,2%,6%,9%,3%,11%,6%,3%,6%,12%,10%,18%,3%,9%,5%,7%,65%,25%,10%,D+20,40%,60%,47%,53%,14%,34%,32%,20%,Urban,99,1
California District 38,Linda Sánchez,Eric Ching,Democrat,Democratic,20 years,"$1,101","$1,101",$0,$0,$0,25.00%,5.00%,60.00%,7.00%,2.00%,1.00%,"$60,000",15%,30%,25%,30%,1%,5%,8%,3%,10%,5%,3%,6%,14%,9%,17%,3%,9%,5%,8%,65%,25%,10%,D+20,40%,60%,47%,53%,14%,34%,32%,20%,Urban,99,1
Texas District 4,Iro Omere,Pat Fallon,Republican,Republican,2 years,"$1,035",$0,$0,"$1,017",$18,65.00%,20.00%,10.00%,2.00%,2.00%,1.00%,"$65,000",12%,32%,25%,31%,3%,7%,14%,3%,11%,5%,1%,4%,7%,8%,14%,2%,6%,4%,10%,35%,55%,10%,R+11,20%,52%,49%,51%,11%,29%,36%,24%,Suburban,1,99
Washington District 2,Rick Larsen,Dan Matthews,Democrat,Democratic,22 years,"$1,019","$1,011",$0,$0,$8,70.00%,5.00%,10.00%,10.00%,3.00%,2.00%,"$75,000",8%,28%,25%,39%,2%,5%,9%,3%,11%,5%,3%,7%,14%,10%,18%,3%,9%,5%,7%,65%,25%,10%,D+20,40%,60%,47%,53%,14%,34%,32%,20%,Urban,99,1